"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.taskname","Answer.hitcode","Answer.instrument1","Answer.instrument2","Answer.instrument3","Answer.instrument4","Answer.instrument5","Answer.misccomments","Answer.musicexperience","Answer.musicrecency","Answer.notename","Answer.pianoexperience","Answer.pianorecency","Answer.piece1heard","Answer.piece1name","Answer.piece1played","Answer.piece2heard","Answer.piece2name","Answer.piece2played","Approve","Reject"
"26XE4EGDHDM2XHK6IIQWGHEZFXDLBK","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:52 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:27 GMT 2014","","","2VHHIT3HVWAVCEIQWEH2B72ZP58LDN","A1AULY5MSR13MZ","Submitted","Mon Feb 10 12:49:57 GMT 2014","Mon Feb 10 13:05:37 GMT 2014","Mon Feb 10 13:05:37 PST 2014","","","","940","0% (0/0)","0% (0/0)","0% (0/0)","1_0_mslc","","piano","","","","","none.","2","9","no","2","9","Yes","mary had a little lamb","Yes","Yes","moonlight sonata","No"
"2X4MEGOOGQSCE2UYJXJESUUU99NDD3","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:52 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:27 GMT 2014","","","2T12NJKM05BMBP657RTG3P9RQ3AGB5","A2WLGVXAVT2XTR","Submitted","Mon Feb 10 12:51:25 GMT 2014","Mon Feb 10 13:16:16 GMT 2014","Mon Feb 10 13:16:16 PST 2014","","","","1491","0% (0/0)","0% (0/0)","0% (0/0)","1_2_edmx","","","","","","","It was fun.  made learning easy.","2","9","","1","1","Yes","Mary Had A Little Lamb","Yes","Yes","","No"
"22H6R70G5R9854VR49YW2STN7LFAQ3","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:52 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:28 GMT 2014","","","2NU1O3W5XH0JHL46BFPEZLSPN12CI0","AN3KR7C1SLYY3","Submitted","Mon Feb 10 12:40:16 GMT 2014","Mon Feb 10 12:52:03 GMT 2014","Mon Feb 10 12:52:03 PST 2014","","","","707","100% (1/1)","0% (0/0)","0% (0/0)","1_4_kewb","","","","","","","Was really fun and interesting, cheers.","4","9","","1","1","Yes","","Yes","Yes","","No"
"238U6L5OBVCITN9LD59JP7GUAKEGZI","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:52 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:28 GMT 2014","","","22A2KYEPLSP7XGXAFRA3YAHQUMDVPU","A38VOZIC9QGEGU","Submitted","Mon Feb 10 12:45:27 GMT 2014","Mon Feb 10 12:56:42 GMT 2014","Mon Feb 10 12:56:42 PST 2014","","","","675","0% (0/0)","0% (0/0)","0% (0/0)","1_6_qrly","","piano","Guitar","drums","saxaphone","clarinet","It was really fun and I would love to do it again.","8","6","F sharp","6","7","Yes","Mary Had a Little Lamb","Yes","Yes","Fur Elise","No"
"2KBVOK5UFJ51Q322XU6Y0S1C13M96T","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:53 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:29 GMT 2014","","","2BKNQQ7Q6705TMW0WMS23QC1DIYVB9","A1Z7QTDFX7ZM2O","Submitted","Mon Feb 10 12:40:45 GMT 2014","Mon Feb 10 13:06:02 GMT 2014","Mon Feb 10 13:06:02 PST 2014","","","","1517","0% (0/0)","0% (0/0)","0% (0/0)","1_8_zjtk","","","","","","","","3","9","","3","9","Yes","Mary had a little lamb","Yes","No","","No"
"2GH2MIKMN9U8H5ARHONW7I3S37HAR4","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:53 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:30 GMT 2014","","","2EUJ1LY58B72ZIC6PABHN16YVOCS7E","A18TXM6GMU1411","Submitted","Mon Feb 10 12:46:15 GMT 2014","Mon Feb 10 13:04:55 GMT 2014","Mon Feb 10 13:04:55 PST 2014","","","","1120","0% (0/0)","0% (0/0)","0% (0/0)","2_2_rnbn","","","","","","","","2","9","","1","1","Yes","Mary Had A Little Lamb","No","Yes","","No"
"2JP4J79KQW610JGU3S6CN45XLNSIKN","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:53 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:30 GMT 2014","","","2I988MQU6L5O3RO6AMOXEAIJV3YCVX","AST33WVZ5QC05","Submitted","Mon Feb 10 12:46:21 GMT 2014","Mon Feb 10 13:27:19 GMT 2014","Mon Feb 10 13:27:19 PST 2014","","","","2458","0% (0/0)","0% (0/0)","0% (0/0)","2_3_qgqb","","flute","clarinet","piano","","","","9","3","f sharp eighth note","6","9","Yes","I recalled it while I was playing but don't remember the tune right now.","Yes","Yes","Beethoven's Fur Elise","Yes"
"22QI9NZW6HEZYKQSZRYTI69G3V1NXX","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:53 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:31 GMT 2014","","","2W2ZHHRRLFQ0GJZJ0CSKRO9EWNTFO9","AEECEMJS22D2E","Submitted","Mon Feb 10 12:47:27 GMT 2014","Mon Feb 10 13:10:41 GMT 2014","Mon Feb 10 13:10:41 PST 2014","","","","1394","0% (0/0)","0% (0/0)","0% (0/0)","2_4_krsi","","","","","","","You owe me a new keyboard.","2","9","","1","1","Yes","Marry Had a Little Lamb","No","Yes","Fur Elise","No"
"2GXYQS1CSTMO7T311Z9CBEYDW7JMPB","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:53 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:31 GMT 2014","","","2CEIKMN9U8P9QZKH5ROIDSUYYIICTH","A22XK2FSFIAAFG","Submitted","Mon Feb 10 12:46:10 GMT 2014","Mon Feb 10 13:11:08 GMT 2014","Mon Feb 10 13:11:08 PST 2014","","","","1498","100% (1/1)","0% (0/0)","0% (0/0)","2_5_yaux","","Guitar","Drums","","","","No comments, thanks!","9","2","","1","1","Yes","Marry had a little lamb.","Yes","No","","No"
"2IMIXKO2L92H688YFSUYYCCF9LODEW","2CAVKCJ011K2Z0VVIFHWG18N4AJ8A8","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 12:38:53 GMT 2014","1","BatchId:1413108;","3600","28800","Mon Feb 10 12:50:31 GMT 2014","","","23YYTWX4H3H2H7G1I47IGIJRR1N4ZC","AUSXA916GRBM5","Submitted","Mon Feb 10 12:44:43 GMT 2014","Mon Feb 10 13:18:04 GMT 2014","Mon Feb 10 13:18:04 PST 2014","","","","2001","0% (0/0)","0% (0/0)","0% (0/0)","2_6_ftnx","","snare drum","","","","","","6","9","","2","9","No","","No","No","","No"
