"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.taskname","Answer.hitcode","Answer.instrument1","Answer.instrument2","Answer.instrument3","Answer.instrument4","Answer.instrument5","Answer.misccomments","Answer.musicexperience","Answer.musicrecency","Answer.notename","Answer.pianoexperience","Answer.pianorecency","Answer.piece1heard","Answer.piece1name","Answer.piece1played","Answer.piece2heard","Answer.piece2name","Answer.piece2played","Answer.useragent","Approve","Reject"
"2EWRSQV66RLP9E5RQQNA5KI6B0NC42","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","26UGTP9RA7S5OIDUITJOP70J2E0WRW","A1YGSYTOGXCQY7","Approved","Mon Feb 10 21:03:57 GMT 2014","Mon Feb 10 21:22:44 GMT 2014","Mon Feb 10 21:22:44 PST 2014","Mon Feb 10 16:14:22 PST 2014","","","1127","100% (2/2)","100% (1/1)","100% (1/1)","1_0_dwof_v1","17543","Piano","","","","","Thanks!","7","2","F sharp","7","2","Yes","Mary had a little lamb","Yes","Yes","Moonlight Sonata Mov. 1","Yes","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2XVHDM25L8I9FV8UQ9Q6YE4Q5KYQG9","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","27MLRGNTBJ3ME99TOKYNG2KHR61U8J","A3D2U4QF7821ZW","Approved","Mon Feb 10 21:10:00 GMT 2014","Mon Feb 10 21:50:04 GMT 2014","Mon Feb 10 21:50:04 PST 2014","Mon Feb 10 16:14:22 PST 2014","","","2404","100% (1/1)","100% (1/1)","100% (1/1)","1_1_xiop_v1","417387","","","","","","","2","9","","1","1","No","","No","No","","No","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2SVPGFL6VCPWR53BMR9O51S7108L6D","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","2MYSK9RJ85OZAVQ5V51PWOOQLBB6U9","A3G00Q5JV2BE5G","Approved","Mon Feb 10 21:07:26 GMT 2014","Mon Feb 10 21:26:30 GMT 2014","Mon Feb 10 21:26:30 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","1144","100% (1/1)","100% (1/1)","100% (1/1)","2_0_zcfu_v1","25402","piano","","","","","","4","9","","4","9","Yes","","Yes","Yes","","No","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"27M5UUKQOYGNASDB13FGA10718KXFD","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","2KL2D5NQYN5FVMC7P0KYWNCWE8KA62","A4CX7I79NKBQA","Approved","Mon Feb 10 21:03:23 GMT 2014","Mon Feb 10 21:30:34 GMT 2014","Mon Feb 10 21:30:34 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","1631","100% (2/2)","100% (1/1)","100% (1/1)","2_1_zblg_v1","472413","","","","","","no","2","9","","1","1","Yes","mary had a little lamb","No","Yes","beethoven?","No","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2MJY7QEOZFYQKXOG2HFF7RDSDVHIFZ","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","2E66AUBXHWSHZBXXIQ2Z6DRLD2O3ZP","A69KEZJP0BY6B","Approved","Mon Feb 10 21:02:58 GMT 2014","Mon Feb 10 21:37:25 GMT 2014","Mon Feb 10 21:37:25 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","2067","100% (1/1)","100% (1/1)","100% (1/1)","4_0_ofwd_v1","115846","piano","guitar","","","","trying to play on the computer keyboard is infuriating","5","3","","5","3","Yes","mary had a little lamb","Yes","Yes","fur elise","Yes","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"26OAUC26DG675X9R4V6KACOKBWIC57","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","26R9RNDWIOV1K34BC8KG413YTWNGVA","AO0CQ0WT4FT7T","Approved","Mon Feb 10 21:03:07 GMT 2014","Mon Feb 10 21:19:43 GMT 2014","Mon Feb 10 21:19:43 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","996","100% (1/1)","100% (1/1)","100% (1/1)","4_1_lfzq_v1","157799","Drums","Trumpet","","","","Very fun task","7","6","F sharp","2","9","Yes","Merry had a little lamb","Yes","Yes","Fur Elise","No","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2C6K5UFJ51Y7IA0NOTHSBCSTV1K8BZ","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","2C9ECWA6X3YO48ROLKWK7PTI3FXMN7","A1LJKHC0NH9TIX","Approved","Mon Feb 10 21:03:27 GMT 2014","Mon Feb 10 21:27:26 GMT 2014","Mon Feb 10 21:27:26 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","1439","100% (1/1)","100% (1/1)","100% (1/1)","8_0_rkhx_v1","140367","clarinet","","","","","This was so much fun!","3","3","no","1","1","Yes","mary had a little lamb","Yes","Yes","don't know the name but have heard it before","Yes","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"27JSNQQ7Q670XX28LII1CTQCAARAUM","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","2H957DZKPFE46CP5MHT5V8I93WBE4F","A2YGDRUGP21GME","Approved","Mon Feb 10 21:02:55 GMT 2014","Mon Feb 10 21:31:59 GMT 2014","Mon Feb 10 21:31:59 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","1744","100% (1/1)","100% (1/1)","100% (1/1)","8_1_uxqy_v1","161286","ukulele","","","","","","4","3","","2","4","No","","No","Yes","","No","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36"
"2Y7CGJ2D21O3O1959EGP2I2K7RTC6N","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","20H6AUC26DG6Z9DLCQRFU0CO0ZY4B5","A1U89AVJKEXTVN","Approved","Mon Feb 10 21:43:53 GMT 2014","Mon Feb 10 22:16:21 GMT 2014","Mon Feb 10 22:16:21 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","1948","100% (1/1)","100% (1/1)","100% (1/1)","16_0_pwpt_v1","163601","Drumms","","","","","no","4","7","","1","1","No","","No","No","","No","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
"2VYDHDM25L8I1JBKFC5ZGOE4Z9CFP8","28EFQ0ONNVRHTGTCI97RL76NVD9ULR","Learn how to play music on your computer keyboard. You do NOT need any experience with music to do this task.","We turn your keyboard into a musical instrument, by assigning notes to keys, and teach you how to play the instrument by having you play back notes. You do NOT need any experience with music to do this task. Takes 15 minutes.","music, piano, tutor, learn, practice, play, keyboard","$2.00","Mon Feb 10 21:01:49 GMT 2014","1","BatchId:1413932;","3600","28800","Mon Feb 17 21:01:49 GMT 2014","","","25H3TVOK5UFJXXAVZ9FZPYQSH9747J","A28O0PK0FXSWKW","Approved","Mon Feb 10 21:25:35 GMT 2014","Mon Feb 10 21:59:26 GMT 2014","Mon Feb 10 21:59:26 PST 2014","Mon Feb 10 16:14:23 PST 2014","","","2031","100% (1/1)","100% (1/1)","100% (1/1)","16_1_fplz_v1","324311","","","","","","That was too time consuming for $2.","2","9","","1","1","Yes","Mary had a little lamb","Yes","Yes","","Yes","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.3 Safari/537.36"
